id_usuario,horas_ouvidas_rock,horas_ouvidas_samba,horas_ouvidas_pop,horas_ouvidas_rap
279,45,21,47,20
280,38,19,11,7
281,18,19,11,9
282,6,13,39,18
283,37,3,10,9
284,14,30,13,48
285,13,10,29,4
286,1,38,48,48
287,25,39,26,24
288,4,12,47,2
289,20,21,47,21
290,15,45,30,9
291,34,45,36,21
292,15,0,37,13
293,31,18,37,19
294,31,50,44,50
295,1,16,18,45
296,46,48,17,35
297,21,19,44,22
298,49,2,30,47
299,35,8,27,46
300,28,29,18,38
301,21,31,11,33
302,42,20,29,30
303,46,21,28,30
304,32,39,4,6
305,14,11,26,6
306,30,26,34,36
307,50,3,30,32
308,20,4,37,28
309,27,18,46,14
310,35,29,17,24
311,3,10,2,23
312,10,6,49,42
313,19,16,18,4
314,23,19,38,11
315,44,6,50,12
316,31,36,35,37
317,21,15,11,17
318,16,50,43,13
319,25,45,4,22
320,45,49,47,19
321,8,11,28,24
322,2,49,14,39
323,8,13,5,42
324,35,4,21,46
325,6,36,2,31
326,3,44,9,30
327,31,21,33,38
328,13,24,5,12
329,27,32,31,22
330,48,1,46,42
331,2,31,35,49
332,37,14,47,41
333,8,2,10,48
334,8,41,48,33
335,4,23,26,6
336,23,29,16,13
337,50,50,24,29
338,7,12,34,16
339,37,16,40,43
340,30,24,45,30
341,30,46,30,22
342,16,8,25,0
343,1,26,2,38
344,7,10,6,7
345,46,14,7,4
346,35,0,49,27
347,16,40,20,20
348,25,40,11,49
349,32,22,31,23
350,12,34,44,16
351,6,25,15,0
352,18,49,8,40
353,15,9,44,1
354,50,23,29,2
355,1,11,2,28
356,33,27,32,49
357,0,1,11,45
358,50,7,46,47
359,26,18,24,47
360,31,32,40,47
361,2,2,41,5
362,24,9,18,42
363,15,2,28,37
364,46,29,47,21
365,15,15,42,0
366,27,48,41,42
367,26,37,39,45
368,41,4,4,19
369,42,40,20,38
370,40,17,35,5
371,36,7,44,30
372,4,20,17,18
373,36,24,44,40
374,28,49,18,1
375,13,14,23,13
376,11,37,30,16
377,25,16,33,36
378,21,30,45,3
379,8,0,32,9
380,12,41,22,4
381,4,32,3,38
382,13,50,50,40
383,2,47,21,3
384,49,25,25,13
385,44,11,22,21
386,20,40,28,13
387,43,29,14,41
388,27,39,25,27
389,1,37,7,5
390,4,30,6,2
391,18,40,14,28
392,46,9,36,49
393,50,33,29,25
394,50,30,33,30
395,23,39,33,16
396,33,32,31,10
397,8,0,45,41
398,17,6,24,29
399,24,24,4,49
400,5,19,6,47
401,33,19,40,0
402,2,3,19,1
403,32,25,23,42
404,9,29,35,43
405,44,34,15,3
406,31,31,7,5
407,16,11,17,20
408,10,15,31,32
409,38,34,43,45
410,21,45,3,47
411,33,4,5,48
412,18,21,42,35
413,8,47,0,7
414,15,29,19,1
415,39,34,41,39
416,11,20,13,48
417,29,34,24,18
418,48,38,50,17
419,35,49,50,23
420,13,35,17,38
421,1,34,11,9
422,30,22,39,45
423,34,0,0,50
424,10,2,28,29
425,4,34,32,32
426,15,20,26,19
427,31,4,5,48
428,31,38,48,49
429,47,47,0,37
430,37,44,2,14
431,46,19,40,10
432,29,47,2,37
433,6,42,12,3
434,48,26,45,36
435,2,49,44,39
436,21,38,21,34
437,47,39,32,48
438,48,28,36,15
439,47,31,20,6
440,5,12,26,25
441,10,40,12,8
442,48,15,2,37
443,30,37,15,46
444,45,11,28,42
445,20,40,31,28
446,14,33,42,46
447,20,4,34,7
448,50,43,25,26
449,43,7,22,47
450,34,10,3,29
451,37,23,44,22
452,6,10,29,40
453,38,41,6,0
454,2,9,29,37
455,41,42,12,32
456,19,35,15,30
457,22,35,22,1
458,15,30,26,21
459,32,19,7,41
460,8,35,14,1
461,11,27,29,41
462,9,9,11,9
463,9,15,28,2
464,48,11,28,23
465,16,38,30,35
466,40,47,36,23
467,19,3,36,47
468,27,18,20,33
469,32,6,8,13
470,21,20,26,19
471,2,19,2,23
472,48,25,44,46
473,14,18,42,0
474,3,38,36,41
475,15,26,15,15
476,11,2,1,11
477,42,12,24,33
478,48,13,33,50
479,6,33,40,22
480,9,49,45,42
481,43,24,17,47
482,9,7,48,23
483,10,10,24,41
484,21,39,37,43
485,50,20,6,39
486,20,24,36,12
487,8,35,11,32
488,35,43,48,25
489,43,27,24,33
490,12,12,13,14
491,6,25,37,43
492,34,37,14,6
493,32,12,13,49
494,29,38,21,9
495,18,13,23,44
496,44,9,1,0
497,49,45,18,31
498,29,13,8,46
499,16,0,43,40
500,36,1,40,39
501,33,43,24,0
502,36,49,20,4
503,19,32,47,46
504,30,50,19,34
505,21,16,40,27
506,17,22,0,17
507,47,38,35,49
508,37,50,19,37
509,11,24,11,21
510,36,6,42,20
511,25,21,50,16
512,47,9,29,40
513,50,3,18,0
514,30,33,14,23
515,33,22,26,12
516,39,29,36,24
517,15,44,50,50
518,48,34,17,36
519,0,48,21,12
520,39,35,46,29
521,14,8,34,41
522,44,22,50,31
523,10,28,21,1
524,37,49,6,5
525,2,44,44,3
526,41,38,16,16
527,25,46,6,49
528,50,1,48,11
529,6,40,30,16
530,47,12,0,11
531,26,36,35,7
532,16,21,36,49
533,2,6,8,17
534,27,12,23,8
535,38,27,29,13
536,49,27,3,45
537,2,23,31,18
538,2,23,45,11
539,28,1,31,44
540,16,31,7,16
541,0,16,26,20
542,4,45,24,34
543,13,24,33,47
544,19,34,17,23
545,16,20,25,40
546,24,6,17,33
547,43,35,39,6
548,10,48,9,48
549,0,24,45,1
550,27,22,47,30
551,9,37,32,5
552,36,26,19,16
553,13,18,38,36
554,41,9,43,30
555,16,17,17,8
556,30,4,7,46
557,5,7,23,0
558,31,15,2,18
559,31,34,5,21
560,6,7,33,30
561,3,6,8,36
562,39,3,14,11
563,16,5,9,6
564,22,26,16,27
565,10,36,35,27
566,22,26,16,42
567,8,12,20,31
568,1,2,8,3
569,5,23,48,33
570,44,11,21,37
571,9,10,37,24
572,41,16,39,7
573,11,34,18,45
574,47,44,46,29
575,4,35,42,14
576,4,8,38,8
577,28,37,33,1
578,10,14,30,20
579,46,19,41,31
580,11,12,31,23
581,32,27,0,16
582,38,27,19,14
583,31,38,16,39
584,43,16,47,0
585,18,44,26,20
586,0,22,8,42
587,22,40,23,1
588,40,7,11,49
589,19,49,31,6
590,48,0,50,25
591,42,32,2,34
592,34,41,13,36
593,50,36,42,10
594,2,14,12,26
595,33,47,48,3
596,0,31,50,38
597,26,27,4,34
598,19,32,2,21
599,37,15,4,10
600,8,49,0,47
601,22,40,18,16
602,49,17,37,22
603,25,12,38,15
604,47,10,20,1
605,23,50,37,15
606,2,17,27,42
607,28,39,4,50
608,50,39,45,24
609,47,38,3,5
610,18,22,11,17
611,32,30,30,46
612,21,29,16,17
613,25,34,22,3
614,3,22,46,36
615,24,26,0,28
616,28,50,42,1
617,23,15,37,29
618,22,19,22,23
619,39,15,35,24
620,43,28,21,44
621,46,25,8,26
622,47,6,39,1
623,31,33,36,1
624,35,21,4,17
625,7,18,45,43
626,47,24,49,5
627,50,14,17,43
628,3,29,14,40
629,39,47,24,7
630,49,23,43,19
631,13,50,28,3
632,34,30,23,16
633,18,22,25,39
634,17,3,28,48
635,41,49,49,43
636,46,38,29,29
637,40,15,5,1
638,20,1,16,29
639,14,22,37,25
640,29,48,24,22
641,35,30,7,10
642,26,19,28,1
643,23,30,17,22
644,26,17,27,36
645,7,18,18,30
646,39,5,39,35
647,48,48,8,50
648,41,23,20,39
649,47,19,38,42
650,20,14,19,50
651,24,38,7,4
652,38,43,40,6
653,11,42,7,16
654,31,31,34,19
655,10,0,25,20
656,32,12,11,20
657,39,15,37,35
658,37,25,39,36
659,48,7,23,35
660,26,14,28,38
661,47,40,41,15
662,7,31,37,36
663,5,14,19,11
664,24,8,11,36
665,11,35,42,3
666,40,10,4,47
667,0,34,50,7
668,6,17,31,11
669,41,10,35,18
670,19,45,5,8
671,24,28,42,42
672,18,41,10,7
673,29,16,45,29
674,43,31,4,41
675,40,22,24,5
676,31,40,4,19
677,1,6,20,7
678,14,22,38,21
679,21,11,8,14
680,12,41,20,20
681,23,9,11,23
682,14,30,8,16
683,6,6,35,23
684,14,23,18,19
685,9,1,30,48
686,30,12,18,49
687,12,26,26,19
688,40,30,37,41
689,22,19,24,45
690,21,42,24,30
691,13,33,26,11
692,11,6,36,14
693,3,25,39,43
694,24,22,20,28
695,30,29,5,39
696,23,41,38,22
697,39,18,28,31
698,8,39,1,0
699,30,9,21,9
700,35,40,30,0
701,32,28,28,21
702,49,34,41,18
703,36,17,9,32
704,16,11,48,15
705,26,20,48,13
706,31,48,3,41
707,48,8,40,42
708,11,33,18,16
709,38,32,7,9
710,12,3,18,11
711,48,33,32,42
712,27,33,8,6
713,15,16,0,46
714,47,45,1,45
715,15,48,30,41
716,15,27,31,21
717,7,40,48,35
718,26,32,41,26
719,3,10,24,10
720,49,1,14,3
721,16,27,23,40
722,46,45,22,35
723,47,29,15,14
724,19,33,28,38
725,21,19,3,10
726,41,19,26,34
727,46,1,46,47
728,7,32,46,11
729,12,10,21,28
730,5,18,27,13
731,43,11,29,17
732,16,16,25,24
733,0,42,25,2
734,19,5,32,11
735,49,46,31,17
736,10,3,37,22
737,14,24,35,43
738,23,49,36,39
739,20,25,48,19
740,5,15,48,40
741,41,44,23,0
742,31,4,3,37
743,40,13,25,32
744,11,5,3,23
745,41,30,43,41
746,4,26,25,16
747,34,49,7,43
748,14,2,39,26
749,47,10,26,47
750,43,46,2,4
751,23,16,28,9
752,6,50,26,36
753,25,13,8,13
754,23,29,21,32
755,50,42,11,27
756,3,3,36,40
757,28,15,3,32
758,17,11,30,36
759,29,20,41,22
760,12,15,5,0
761,31,1,23,42
762,11,45,17,38
763,4,31,33,6
764,1,35,27,32
765,34,25,50,46
766,42,24,23,38
767,36,50,33,46
768,50,36,20,9
769,30,49,38,5
770,49,42,46,1
771,13,19,8,2
772,9,50,10,7
773,34,15,41,34
774,47,32,38,15
775,0,28,15,49
776,34,11,29,42
777,11,15,40,34
778,9,16,17,2
779,13,27,20,8
780,40,28,41,17
781,13,36,26,37
782,47,48,39,16
783,5,0,44,24
784,9,8,30,35
785,18,5,20,45
786,35,26,16,7
787,4,6,22,6
788,4,49,2,4
789,5,13,13,48
790,4,30,14,7
791,27,39,35,6
792,37,18,30,2
793,29,44,5,50
794,16,44,33,50
795,19,28,37,19
796,13,6,5,14
797,30,4,24,22
798,37,36,37,37
799,37,4,47,14
800,38,19,15,25
801,16,49,25,5
802,28,27,6,9
803,48,42,3,18
804,10,29,33,6
805,12,43,20,6
806,31,0,38,12
807,29,6,48,27
808,9,37,2,17
809,20,35,48,23
810,50,14,16,30
811,30,36,11,23
812,39,40,4,37
813,46,44,41,0
814,36,27,0,6
815,4,28,8,50
816,26,13,24,22
817,18,21,13,6
818,13,29,29,4
819,21,25,8,26
820,6,1,1,16
821,20,9,14,41
822,12,42,23,20
823,24,6,11,41
824,27,34,33,26
825,6,21,35,19
826,8,13,44,39
827,45,31,45,14
828,20,24,43,22
829,24,20,28,49
830,27,45,49,16
831,34,13,45,7
832,39,2,20,19
833,36,18,42,24
834,37,39,2,34
835,29,36,43,17
836,16,27,39,22
837,46,44,6,38
838,43,29,39,46
839,13,7,44,35
840,36,49,37,39
841,1,13,3,10
842,1,37,32,40
843,22,24,11,34
844,19,7,0,49
845,1,42,13,15
846,47,20,10,5
847,43,19,37,6
848,12,10,22,7
849,45,29,7,25
850,37,38,39,29
851,26,9,7,3
852,26,5,48,28
853,47,39,45,30
854,5,18,17,8
855,18,34,27,10
856,49,37,33,36
857,32,9,39,46
858,30,46,49,9
859,15,13,5,39
860,0,35,14,9
861,7,11,35,38
862,19,47,41,31
863,21,32,33,25
864,7,26,18,41
865,19,23,11,24
866,6,24,12,21
867,5,8,16,31
868,3,19,29,20
869,27,6,32,11
870,42,5,11,39
871,7,45,36,31
872,1,27,26,6
873,44,49,12,27
874,13,41,8,46
875,43,5,7,10
876,46,36,44,47
877,31,35,2,31
878,41,46,9,2
879,9,36,7,42
880,11,3,24,49
881,46,20,13,45
882,39,22,9,36
883,34,0,27,9
884,7,40,22,38
885,21,21,31,17
886,27,37,7,24
887,1,44,15,27
888,46,17,48,38
889,12,26,3,13
890,13,7,22,7
891,46,32,13,19
892,4,22,2,4
893,3,24,44,13
894,32,41,25,30
895,22,35,45,8
896,30,28,0,32
897,7,46,46,37
898,38,17,24,5
899,34,36,46,17
900,14,16,26,17
901,19,14,20,2
902,12,43,47,45
903,5,20,8,10
904,11,32,6,1
905,20,47,12,46
906,25,7,41,15
907,9,15,34,35
908,44,42,46,50
909,28,23,14,19
910,33,26,33,39
911,50,48,11,25
912,44,45,16,24
913,8,17,21,27
914,15,32,46,49
915,21,14,35,6
916,9,13,14,25
917,20,17,45,41
918,39,43,19,5
919,21,23,47,36
920,4,33,35,4
921,1,31,50,35
922,4,49,22,24
923,13,21,30,50
924,6,21,41,40
925,16,12,16,42
926,38,41,34,24
927,40,39,6,44
928,29,31,14,15
929,10,37,2,1
930,30,1,34,15
931,23,32,25,2
932,30,50,4,35
933,29,34,42,33
934,25,25,27,43
935,1,1,3,1
936,0,46,29,22
937,12,48,43,23
938,23,30,42,18
939,14,45,25,31
940,38,45,27,26
941,28,20,6,8
942,14,22,13,33
943,2,21,8,30
944,49,26,32,0
945,39,34,1,9
946,13,40,13,28
947,37,11,17,41
948,24,48,48,14
949,29,24,6,8
950,31,45,4,37
951,37,15,29,28
952,11,46,1,26
953,10,13,11,4
954,27,10,5,37
955,42,32,20,30
956,28,11,19,21
957,26,34,34,33
958,22,41,19,32
959,39,41,7,10
960,1,7,27,26
961,25,8,11,11
962,34,17,33,17
963,45,5,37,13
964,47,12,37,30
965,8,46,4,7
966,37,10,11,26
967,19,16,33,34
968,24,38,24,11
969,30,37,12,46
970,45,15,18,33
971,36,4,18,12
972,32,48,23,25
973,28,35,35,49
974,19,44,18,41
975,29,13,0,4
976,10,43,18,29
977,24,0,13,2
978,25,5,32,49
979,15,36,31,13
980,0,22,26,14
981,12,33,24,45
982,32,5,31,25
983,23,49,7,21
984,6,16,33,43
985,22,4,19,41
986,26,8,15,20
987,23,22,7,45
988,20,42,50,17
989,44,34,48,38
990,39,39,22,11
991,18,46,17,33
992,40,34,20,30
993,37,36,44,37
994,24,47,46,1
995,40,27,40,15
996,19,35,37,1
997,0,9,44,7
998,34,20,39,45
999,36,41,32,6
1000,0,26,10,0
1001,42,26,6,24
1002,43,20,47,50
1003,41,9,38,16
1004,39,42,35,22
1005,40,22,0,16
1006,3,36,4,45
1007,46,33,22,29
1008,13,4,0,24
1009,1,15,6,21
1010,17,37,26,29
1011,30,25,18,23
1012,1,48,3,12
1013,3,6,6,25
1014,27,25,33,42
1015,35,37,26,7
1016,7,6,23,21
1017,2,25,40,50
1018,38,1,8,50
1019,24,39,6,35
1020,31,24,12,35
1021,30,7,16,19
1022,15,13,39,40
1023,43,16,12,40
1024,21,13,4,16
1025,20,27,40,39
1026,35,23,14,5
1027,24,15,13,4
1028,47,14,23,1
1029,41,21,0,30
1030,23,29,3,49
1031,50,21,32,28
1032,42,39,30,44
1033,37,18,17,7
1034,3,33,38,6
1035,9,39,29,38
1036,0,48,22,6
1037,19,14,49,22
1038,33,40,44,39
1039,25,13,30,6
1040,41,23,15,32
1041,38,20,40,4
1042,48,28,35,35
1043,33,25,48,37
1044,44,22,31,19
1045,10,39,33,44
1046,35,26,8,39
1047,22,22,17,15
1048,14,22,3,27
1049,46,24,33,4
1050,49,41,12,20
1051,6,22,9,20
1052,20,48,41,16
1053,49,29,50,1
1054,5,19,6,39
1055,33,12,0,40
1056,4,27,11,47
1057,48,30,15,17
1058,48,26,31,41
1059,28,33,1,18
1060,41,27,35,26
1061,35,6,8,7
1062,40,46,33,48
1063,40,3,21,38
1064,37,39,12,12
1065,41,47,1,8
1066,4,43,24,29
1067,29,47,26,37
1068,44,6,8,12
1069,30,33,4,50
1070,32,43,26,46
1071,19,24,40,40
1072,37,44,22,2
1073,5,33,44,28
1074,47,30,36,6
1075,20,50,32,4
1076,3,4,34,47
1077,46,30,21,3
1078,20,28,43,18
1079,30,24,21,42
1080,41,10,8,30
1081,2,17,28,4
1082,48,44,47,17
1083,5,38,8,9
1084,27,27,38,27
1085,24,6,20,45
1086,3,3,7,10
1087,13,2,18,48
1088,20,4,44,45
1089,17,50,46,11
1090,28,26,13,27
1091,20,32,31,21
1092,48,47,5,47
1093,43,47,29,44
1094,37,48,25,32
1095,23,3,32,50
1096,0,6,18,12
1097,10,11,18,17
1098,8,19,36,24
1099,43,28,8,17
1100,48,29,40,36
1101,20,26,35,39
1102,31,8,33,45
1103,29,41,33,33
1104,20,12,37,5
1105,40,4,28,27
1106,5,40,1,20
1107,15,8,45,16
1108,16,7,3,45
1109,47,42,27,32
1110,37,14,30,5
1111,19,25,28,20
1112,23,37,19,21
1113,32,47,40,12
1114,9,16,41,40
1115,49,2,5,6
1116,46,19,0,14
1117,49,7,32,39
1118,25,18,45,18
1119,35,17,31,7
1120,16,19,27,9
1121,31,15,8,36
1122,49,49,44,22
1123,20,45,23,8
1124,15,39,49,48
1125,18,2,0,23
1126,27,48,31,38
1127,9,37,37,1
1128,31,50,34,3
1129,14,47,50,19
1130,46,46,6,33
1131,42,10,16,11
1132,8,22,7,18
1133,29,8,22,37
1134,39,4,19,31
1135,42,28,11,13
1136,14,42,36,13
1137,44,45,49,41
1138,42,40,0,14
1139,1,47,18,25
1140,29,11,43,14
1141,26,35,4,42
1142,12,9,8,23
1143,39,3,30,41
1144,45,45,48,23
1145,16,48,24,16
1146,43,39,1,19
1147,27,3,50,40
1148,36,31,35,37
1149,0,28,39,48
1150,36,10,33,49
1151,43,13,49,9
1152,30,19,33,18
1153,18,22,47,18
1154,22,36,41,31
1155,27,4,20,24
1156,35,33,28,34
1157,8,43,9,43
1158,22,1,44,30
1159,6,10,13,20
1160,6,26,33,33
1161,46,47,47,29
1162,47,44,16,16
1163,2,22,19,10
1164,40,14,50,25
1165,19,38,26,9
1166,36,46,15,0
1167,45,14,19,39
1168,46,42,12,39
1169,37,29,0,25
1170,40,44,41,30
1171,6,6,17,46
1172,19,17,20,46
1173,49,36,38,8
1174,34,9,19,15
1175,33,5,40,49
1176,41,38,1,0
1177,8,36,32,27
1178,20,38,34,12
1179,7,34,44,28
1180,16,29,17,17
1181,26,50,45,7
1182,11,39,14,10
1183,24,3,45,38
1184,32,1,16,49
1185,17,17,22,11
1186,28,6,37,6
1187,17,11,18,44
1188,17,23,46,16
1189,35,6,19,36
1190,16,7,50,14
1191,23,13,39,16
1192,4,35,13,20
1193,44,12,38,19
1194,39,30,18,7
1195,50,3,7,13
1196,28,3,37,34
1197,37,30,18,29
1198,8,22,11,32
1199,30,11,17,5
1200,10,43,11,10
1201,36,4,23,12
1202,16,25,42,29
1203,1,38,22,28
1204,2,0,37,2
1205,48,25,41,33
1206,35,45,3,47
1207,47,20,24,37
1208,29,50,32,37
1209,14,47,46,21
1210,18,37,4,44
1211,0,40,7,31
1212,14,18,18,2
1213,50,42,2,13
1214,30,27,49,42
1215,40,10,8,33
1216,44,10,16,46
1217,24,12,39,19
1218,32,15,39,4
1219,10,41,47,34
1220,37,9,20,18
1221,49,45,43,10
1222,45,47,37,43
1223,38,12,32,41
1224,29,35,19,45
1225,27,45,31,19
1226,26,10,7,11
1227,37,5,7,6
1228,46,39,40,15
1229,3,26,10,20
1230,35,2,45,48
1231,26,45,16,35
1232,6,17,2,40
1233,34,9,8,14
1234,1,48,12,47
1235,19,15,26,10
1236,48,42,30,43
1237,19,41,0,29
1238,19,36,42,11
1239,42,44,45,36
1240,17,49,0,34
1241,39,40,8,37
1242,25,32,38,39
1243,18,10,31,16
1244,30,13,49,35
1245,46,9,2,34
1246,25,18,43,2
1247,24,41,6,10
1248,36,19,11,10
1249,10,41,29,21
1250,13,43,10,37
1251,24,44,21,23
1252,14,30,9,7
1253,20,17,10,19
1254,10,29,36,5
1255,15,26,23,22
1256,21,30,29,10
1257,20,29,0,12
1258,38,33,48,39
1259,42,9,8,40
1260,23,30,5,34
1261,16,15,33,50
1262,22,1,28,19
1263,29,33,16,37
1264,15,3,0,23
1265,49,21,8,44
1266,5,11,0,45
1267,50,4,3,45
1268,14,5,11,49
1269,34,24,27,46
1270,41,26,36,15
1271,32,41,4,9
1272,8,15,17,14
1273,12,41,34,14
1274,21,21,9,39
1275,4,14,37,37
1276,44,23,8,24
1277,20,7,37,21
1278,10,32,19,17
1279,19,48,27,25
1280,10,0,4,23
1281,18,8,1,13
1282,0,27,42,12
1283,50,26,1,33
1284,3,16,14,1
1285,22,10,4,17
1286,44,37,48,47
1287,0,27,24,5
1288,22,5,24,40
1289,22,13,35,24
1290,40,31,50,47
1291,6,24,12,11
1292,41,2,38,11
1293,31,15,21,15
1294,13,5,6,16
1295,21,10,27,42
1296,41,31,8,9
1297,30,11,40,46
1298,43,9,13,3
1299,25,10,2,14
1300,12,49,40,2
1301,38,44,30,36
1302,45,34,43,18
1303,14,33,15,0
1304,43,15,28,7
1305,26,15,17,27
1306,26,39,49,46
1307,35,46,26,14
1308,49,4,33,33
1309,14,45,19,47
1310,50,40,2,19
1311,40,30,9,16
1312,43,33,20,19
1313,18,30,49,47
1314,30,38,43,45
1315,29,39,6,32
1316,16,18,39,33
1317,22,27,34,46
1318,35,8,17,42
1319,50,26,11,29
1320,23,8,39,2
1321,22,43,44,23
1322,48,27,33,18
1323,21,2,21,22
1324,36,21,40,43
1325,15,3,25,6
1326,48,33,27,4
1327,28,46,35,17
1328,25,7,0,34
1329,43,38,42,37
1330,7,43,1,29
1331,26,9,26,0
1332,10,41,6,11
1333,6,16,40,19
1334,43,32,4,1
1335,20,36,41,6
1336,31,10,46,40
1337,4,30,34,42
1338,8,0,3,11
1339,37,44,23,33
1340,3,30,12,9
1341,7,14,44,3
1342,3,38,15,16
1343,38,34,7,7
1344,46,41,47,18
1345,47,17,37,33
1346,19,23,21,5
1347,7,20,33,39
1348,41,47,50,18
1349,28,11,13,1
1350,36,7,33,1
1351,34,39,34,1
1352,46,23,18,29
1353,5,34,29,6
